cooling,heating
-0.0,535.0198611367961
-0.0,522.0984144179396
-1683.8685947100703,11.945480026069157
-2456.285093215716,0.0
-1378.393583489482,0.0
-771.3269721460293,0.0
-869.8433971052516,151.66243566677346
-1013.8286513293966,115.41549044788567
-0.0,278.76740721311717
-108.25953264564077,0.0
-155.95950377763648,0.0
-112.77295702391105,76.1276570139037
-1086.1581007984623,0.0
-198.26803837495137,0.0
-124.58359561354327,0.0
-0.0,73.78345443106912
-0.0,344.9712261854663
-0.0,247.9022874627478
-0.0,585.6137304631534
-0.0,257.51671093334875
-0.0,445.77011533664574
-0.0,97.66834523031017
-0.0,2112.954423619002
-0.0,959.0589366868165
-0.0,1708.5924380315703
-904.5486556429385,62.05835453269948
-2251.827982278117,0.0
-601.7628567071121,0.0
-447.57402549024954,0.0
-284.72486320929454,0.0
-632.1288628393577,0.0
-409.87939761595226,0.0
-616.7667734245399,0.0
-86.98788353922914,442.8611367159774
-0.0,151.36218046203572
-425.8310484651939,24.025564049927333
-515.5619197476792,32.943100970017845
-9.803889717411039,0.0
-0.0,174.41416331581541
-0.0,468.2108399821995
-0.0,725.9688650244829
-0.0,564.8960983611414
-0.0,674.2506353987269
-0.0,847.1683414731799
-0.0,1078.4713987393702
-31.011903245913345,0.0
-0.0,504.8018344862296
-293.89973889842264,0.0
-838.2300966485625,0.0
-561.1394331986784,0.0
-1928.7755788066713,0.0
-1630.2442243041119,0.0
-1617.004645597916,0.0
-4014.019088151053,0.0
-2675.581802782024,0.0
-807.3899091442731,442.4698050488225
-32.1718806539842,11.6318189889046
-39.41414700969648,0.0
-310.2712357149095,0.0
-42.1891573964364,211.04104467397914
-993.5491364316821,0.0
-46.64739895816489,7.753448455629955
-0.0,640.5872124398506
-0.0,1059.2660929016743
-0.0,1490.0583208883863
-0.0,570.6687236797487
-0.0,1481.5676040387382
-0.0,719.2271846010283
-0.0,2634.2282341086866
-0.0,1645.5018232867226
-0.0,470.0013397333639
-2.9614612574641455,161.36456877314066
-169.8238388213397,1951.1158285112647
-9.01578936188064,1061.0697222844854
-0.0,661.7054781133617
-2942.078133609942,0.0
-3590.583351106982,0.0
-3802.381391149185,0.0
-3433.451164538766,0.0
-2100.2552145817876,0.0
-324.03801426014013,418.0785251029569
-45.84874493609907,457.8997995017739
-1874.547909919057,0.0
-2236.1197612410033,0.0
-661.6715409365044,0.0
-542.5196607474799,0.0
-39.80498596350278,0.0
-0.0,187.37171109023015
-0.0,141.54928174432965
-0.0,183.90420090156752
-0.0,771.384734597159
-0.0,429.3383603993019
-403.6692761556938,0.0
-0.0,1484.9629312877205
-0.0,2156.165518140973
-0.0,1638.4577715847006
-0.0,1103.2035189113735
-0.0,288.5061901498972
-0.0,305.83461725718564
-99.55380055901547,0.0
-463.9378870964751,0.0
-129.1230088396598,1751.3340831648406
-89.63823606151381,318.0279716864027
-1153.495377532127,0.0
-1976.7973670698123,0.0
-3267.744658824485,0.0
-3653.9036847261427,0.0
-1367.8682587027006,0.0
-838.1271514792419,0.0
-1098.9268053506967,0.0
-886.5173786539083,0.0
-607.8538108015385,0.0
-132.36192439120688,0.0
-219.56570016876984,0.0
-230.92831798650877,0.0
-115.34836057555012,0.0
-34.01744763225233,0.0
-49.41960144139064,498.3883860377704
-0.0,4421.450735895108
-0.0,7768.994927066603
-1288.589360432625,274.7587665106209
-417.62244740024613,0.0
-91.62732122312418,202.9294939998022
-13.1713195264987,2552.2959386149673
-0.0,2222.9465006088053
-909.9543032642578,470.89193868412764
-0.0,201.4505166407166
-0.0,2098.8127873588624
-0.0,700.8091306343603
-0.0,2724.3794742829004
-0.0,1707.8471212543263
-1102.0427104842624,106.79716091789298
-1695.0220425934713,0.0
-0.0,109.22087040443829
-0.0,1222.784914619793
-0.0,731.4748999310556
-0.0,2031.7185199848063
-0.0,2445.456521606712
-0.0,4149.947330872925
-0.0,2916.1451557121095
-0.0,2196.56816214222
-0.0,4816.928662866514
-0.0,2041.2860937002797
-0.0,699.5998436392734
-0.0,1231.1865680215847
-0.0,568.0862204032699
-0.0,282.1172382974461
-107.86567016360254,0.0
-793.594636501066,0.0
-1046.520450906932,0.0
-1035.3180060226632,0.0
-2409.7459895830702,0.0
-287.837029106864,0.0
-39.06248035114751,0.0
-90.0311561127543,0.0
-0.0,543.0707326810613
-0.0,1924.7496795249451
-0.0,2669.317476829784
-0.0,2081.115029877956
-0.0,2697.225413320494
-0.0,1308.6940049251389
-0.0,4217.646107706143
-0.0,1836.1019913899936
-0.0,3772.315113446061
-0.0,1876.3141336453166
-0.0,1647.5509111189563
-0.0,4256.843420280488
-0.0,2239.758039888765
-0.0,1895.2008724900293
-0.0,1701.7619821927808
-18.93740862882781,1061.1260169717127
-207.02942018725014,64.85194753645047
-1255.3368190268652,0.0
-1577.5754041133653,0.0
-1596.7790863540413,0.0
-1804.4479255395643,0.0
-565.7338231753048,0.0
-0.0,187.69611512220834
-0.0,599.3804687252052
-0.0,1244.7101346121271
-0.0,2085.066314906819
-0.0,882.892688915255
-0.0,2286.1059492550503
-0.0,1251.898119178349
-0.0,1553.319470923524
-0.0,1000.9121775179755
-0.0,2055.9372684699274
-0.0,2173.4074830891504
-0.0,4108.993279348165
-0.0,3782.40058677966
-0.0,3403.4455894168827
-0.0,1407.2702026183363
-0.0,1459.482705347904
-0.0,277.8496023411931
-532.2424428629708,0.0
-700.9778744247014,0.0
-1855.3136114889853,0.0
-1566.398762246295,0.0
-2506.158655633564,0.0
-2703.1124171328565,0.0
-566.4313535196577,0.0
-712.2633628526402,0.0
-496.00117819424497,0.0
-15.8413797771787,0.0
-0.0,388.22673069736385
-0.0,840.1897649400744
-0.0,1362.8434942303622
-0.0,1590.2806558915736
-0.0,1755.5131006786899
-0.0,2876.3882096642365
-0.0,2494.878765187749
-0.0,2459.917253947836
-0.0,1548.3625062700776
-0.0,2347.49198328345
-0.0,901.8119754858236
-0.0,1336.8659579318532
-0.0,627.8444750521177
-0.0,258.9586052206869
-406.4037335187159,0.0
-308.53793992679374,0.0
-807.5191087790001,0.0
-564.6095425101225,0.0
